Owner,Repo,Number,Author,Created_at,Updated_at,Closed_at,Merged_at,State,Title,Body,Assignee,Assignees,Requested_reviewers,Labels,Mergeable,Mergeable_state,Comments,Review_comments,Commits,Additions,Deletions,Changed_files
usgs,nwisweb-tableau-data-connector,261,dependabot-preview[bot],2021-04-05 10:50:27,2021-06-04 10:22:00,2021-06-04 10:21:58,,closed,[Security] Bump highlight.js from 10.4.0 to 10.7.2,18086,,0,2,"['dependencies', 'security']",True,clean,1,0,1,9,18,1
fu4303,mxbstr,8,dependabot-preview[bot],2021-04-05 10:50:17,2021-06-28 18:45:22,2021-06-28 18:45:21,,closed,[Security] Bump prismjs from 1.22.0 to 1.23.0,20330,,0,2,"['dependencies', 'security']",True,unstable,2,0,1,5,5,2
fu4303,lauracharvey,8,dependabot-preview[bot],2021-04-05 10:50:15,2021-04-05 10:50:16,,,open,[Security] Bump axios from 0.19.2 to 0.21.1,13533,,0,2,"['dependencies', 'security']",True,clean,0,0,1,6,32,2
fu4303,react-covid-tracker,8,dependabot-preview[bot],2021-04-05 10:50:05,2021-04-05 10:50:09,,,open,[Security] Bump axios from 0.19.2 to 0.21.1,13533,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,314,60,3
fu4303,portfolio-dnd,10,dependabot-preview[bot],2021-04-05 10:48:18,2021-04-05 10:48:20,,,open,[Security] Bump gsap from 3.5.1 to 3.6.0,3580,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,5,5,2
fu4303,eb-products,17,dependabot-preview[bot],2021-04-05 10:48:13,2021-04-05 10:48:16,,,open,[Security] Bump axios from 0.19.2 to 0.21.1,13846,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,14,9,2
decentraland,builder,1288,dependabot-preview[bot],2021-04-05 10:48:03,2021-04-20 15:18:24,2021-04-20 15:18:20,2021-04-20 15:18:20,closed,chore(deps): [security] bump react-dev-utils from 7.0.5 to 11.0.4,6300,,0,2,"['dependencies', 'security']",,unknown,1,0,1,353,232,2
fu4303,pokedex,13,dependabot-preview[bot],2021-04-05 10:47:52,2021-04-05 10:47:55,,,open,[Security] Bump react from 0.0.0-experimental-f6b8d31a7 to 0.14.0,15987,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,157,15,2
fu4303,react-hackernews,12,dependabot-preview[bot],2021-04-05 10:47:39,2021-04-05 10:47:40,,,open,[Security] Bump axios from 0.19.2 to 0.21.1,13846,,0,2,"['dependencies', 'security']",True,clean,0,0,1,22,66,3
ruhacks,quill,29,dependabot-preview[bot],2021-04-05 10:53:00,2021-04-05 10:53:01,,,open,[Security] Bump yargs-parser from 5.0.0 to 5.0.1,8440,,0,2,"['dependencies', 'security']",True,blocked,0,0,1,106,507,1
fu4303,starter-nextjs-bus,8,dependabot-preview[bot],2021-04-05 10:46:33,2021-04-05 10:51:58,,,open,[Security] Bump next-auth from 3.2.0 to 3.3.0,9370,,0,2,"['dependencies', 'security']",True,clean,1,0,1,10,113,2
mattblubaugh,javascript-development-environment,65,dependabot-preview[bot],2021-04-05 10:41:22,2021-04-16 09:20:13,2021-04-16 09:20:11,,closed,[Security] Bump open from 0.0.5 to 8.0.5,7164,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
mark-monteiro,smokes-lets-go,28,dependabot-preview[bot],2021-04-05 10:39:50,2021-05-27 23:00:23,2021-05-27 23:00:14,,closed,[Security] Bump kramdown from 2.3.0 to 2.3.1,4417,,0,2,"['dependencies', 'security']",,unknown,1,0,1,34,30,1
rogeriorioli,personal_lp_nextjs,38,dependabot-preview[bot],2021-04-05 10:36:06,2021-04-13 09:36:55,2021-04-13 09:36:54,,closed,[Security] Bump npm from 6.9.0 to 6.14.12,15247,,0,2,"['dependencies', 'security']",True,clean,1,0,1,947,593,1
remotehour,rrule-duration,10,dependabot-preview[bot],2021-04-05 10:32:13,2021-04-05 14:53:39,2021-04-05 14:53:39,2021-04-05 14:53:39,closed,[Security] Bump y18n from 4.0.0 to 4.0.1,4424,,0,2,"['dependencies', 'security']",,unknown,0,0,1,3,3,1
fu4303,starter-11ty-base,11,dependabot-preview[bot],2021-04-05 10:46:56,2021-04-05 10:49:29,,,open,[Security] Bump axios from 0.19.2 to 0.21.1,13846,,0,2,"['dependencies', 'security']",True,clean,1,0,1,16,6,2
aemc,material-ui,20,dependabot-preview[bot],2021-04-05 11:16:35,2021-04-05 11:16:36,,,open,[Security] Bump next from 7.0.0 to 9.3.2,7035,,0,2,"['dependencies', 'security']",True,clean,0,0,1,3406,959,2
lingnet,functions-samples,239,dependabot-preview[bot],2021-04-05 11:22:41,2021-05-03 11:18:25,2021-05-03 11:18:23,,closed,[Security] Bump next from 3.0.1-beta.18 to 10.1.3,11645,,0,2,"['dependencies', 'security']",True,clean,1,0,1,4236,4786,2
Judahh,pocketDoc,153,dependabot-preview[bot],2021-04-05 10:22:51,2021-04-19 10:24:14,2021-04-19 10:24:12,,closed,[Security] Bump mongoose from 5.6.5 to 5.12.3,15304,,0,2,"['dependencies', 'security']",True,clean,1,0,1,135,52,1
biglotteryfund,craft-dev,577,dependabot-preview[bot],2021-04-05 10:22:49,2021-04-07 09:14:03,2021-04-07 09:14:02,,closed,[Security] Bump y18n from 5.0.1 to 5.0.6,10050,,0,2,"['dependencies', 'javascript', 'security']",,unknown,1,0,1,3,3,1
martinfrancois,wdio-mobile-utils,606,dependabot-preview[bot],2021-04-05 10:15:51,2021-06-04 08:28:42,2021-06-04 08:28:41,,closed,build(deps): [security] bump highlight.js from 10.0.3 to 10.7.2,19537,martinfrancois,1,2,"['dependencies', 'security']",True,clean,1,0,1,3,3,1
ember-learn,deprecation-app,831,dependabot-preview[bot],2021-04-05 10:16:46,2021-04-05 18:40:34,2021-04-05 18:39:40,2021-04-05 18:39:40,closed,[Security] Bump prismjs from 1.22.0 to 1.23.0,20087,,0,2,"['dependencies', 'security']",,unknown,0,0,1,3,3,1
cesi-it-aix,bea-front,143,dependabot-preview[bot],2021-04-05 10:10:52,2021-04-19 10:04:58,2021-04-19 10:04:56,,closed,[Security] Bump apollo-server-core from 2.9.13 to 2.22.2,25942,,0,2,"['dependencies', 'security']",True,clean,1,0,1,285,106,1
